,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
0,10319,11246,11761,22494,10091,8120,52846,2249,0,2262,570,3032,219,2931,5617,530,1530,1333,3722,2181,4754,3123,3581,855,3045,14154,1511,19266,1161,6199,1034,13330,13300,5742,43994,2363,7538,2101,693,7480,12084,10171,102121,18119,10430,1900,14487,7781,25022,com.ruanmei.ithome.opcodeSeq.txt,1
1,6609,4388,5915,13406,8214,4912,32714,1783,0,1315,292,1429,178,1758,3253,419,705,626,1921,181,2794,2145,2254,492,1839,9051,886,10975,1657,3176,537,8508,55631,14594,27638,571,4403,977,394,16200,6148,6422,60449,12448,5618,1298,9382,5366,16092,cm.theme.wallpaper.hola.launcher.opcodeSeq.txt,1
2,8516,7758,6198,15559,7232,7295,40204,2166,0,1612,884,1901,148,2447,3827,530,1361,1069,1978,154,3895,2845,3377,978,2760,9003,775,13671,1998,3139,645,8123,52848,14874,26217,675,4549,1393,334,15689,12785,8694,73074,15435,8259,1647,7755,5608,20771,br.uol.noticias.opcodeSeq.txt,1
3,13556,8691,7102,20790,14988,8137,57411,2675,0,2087,542,2326,255,3010,4372,639,1219,988,3300,277,4618,4450,3459,994,2517,13927,1183,16797,4737,5113,1054,13706,60027,15286,42834,828,6723,1923,573,17924,11505,9514,100325,20672,9956,2099,13632,7984,25384,com.chineseskill.opcodeSeq.txt,1
4,7851,10477,9360,18296,9287,6926,50423,2947,0,2105,595,2324,217,2941,4468,637,819,1041,2727,268,4561,2894,3581,780,2468,11763,1092,16549,1136,5307,888,11724,10030,4523,36414,601,7097,1516,503,6287,9642,8777,93172,19548,7775,2164,10797,7805,24620,com.heetch.opcodeSeq.txt,1
5,16461,14410,14940,33711,19654,13705,87209,4616,0,3563,886,3724,357,4769,7987,1042,1522,1560,4833,419,6729,5091,5708,1253,4989,21831,2239,29302,3801,8464,1471,21291,73094,19257,79768,1438,11829,2446,802,24115,18357,16665,161537,33426,13820,3381,32985,14718,40770,com.cardinalblue.piccollage.google.opcodeSeq.txt,1
6,28128,9070,20518,23734,13419,10648,48162,3331,0,2294,566,1999,191,2648,15837,487,4771,920,2406,204,3766,8147,3459,743,2975,11901,1082,19700,2763,5402,889,11499,18229,5807,47888,591,6262,1268,3051,6640,7084,10800,95506,18072,6900,2480,21701,7660,24104,at.mjam.opcodeSeq.txt,1
7,1723,1773,2264,3473,1681,1631,12482,988,0,490,100,333,40,592,1496,102,198,109,601,62,1499,696,553,136,368,2392,179,3121,351,1276,216,2138,47094,12398,7147,246,1255,284,102,12728,2464,2519,19622,4338,2289,793,2539,1934,7147,air.com.loneapps.TakeWeddingPhotosOnYacht.opcodeSeq.txt,1
8,8888,6954,10418,21595,10458,7334,54054,2691,0,2027,465,2071,247,2933,5912,569,1199,926,3586,266,6114,3962,3208,748,2465,13672,1131,17720,2074,5195,974,12824,57354,15600,40071,720,6764,1628,412,18044,8991,9652,95951,18851,9980,2471,13676,8946,27248,com.aandrill.president.opcodeSeq.txt,1
9,8355,7135,6220,17725,9959,6100,46050,2254,0,1888,445,1681,197,2311,3394,509,1138,886,2521,181,4149,3377,2684,818,2199,10575,906,14569,2750,4908,907,9535,9183,3688,33947,697,6500,1295,436,5642,7370,7410,80871,17229,7365,2048,11335,6730,23567,com.apartments.mobile.android.opcodeSeq.txt,1
10,18699,10672,10495,30684,21158,11127,82792,4038,0,2776,710,3366,358,4287,7308,762,1920,1252,4224,383,6435,5906,5088,1397,3650,19858,1760,23454,7096,7854,1507,18392,64796,18332,61180,1659,9797,2723,733,22036,13139,14354,141504,28407,14397,2768,19837,12324,42244,com.lagardere.apublic.opcodeSeq.txt,1
11,7509,11442,7185,15390,8905,6043,41791,2515,0,2023,545,1696,160,2702,3656,584,1095,883,2245,217,4048,3210,3190,776,2041,10085,936,13344,2342,4175,860,10356,55425,15226,29977,614,5691,1535,485,16674,6229,6962,78993,16705,6908,1701,8559,6185,17120,com.lappsco.alarm_reminder.Main.opcodeSeq.txt,1
12,4493,4551,3921,7933,3923,2983,26893,1906,0,970,233,716,87,1482,2566,267,543,388,1145,119,2876,1476,1280,376,901,4441,468,7365,1021,2495,421,4229,49077,13132,15263,319,3094,636,198,13911,4185,4153,43067,10265,4653,1442,5045,3750,14926,com.teenpatti.hd.gold.opcodeSeq.txt,1
13,10307,9508,8804,15518,8241,7117,49155,2889,0,2186,453,1408,165,2879,4841,461,917,587,2482,183,6591,2713,2609,756,2400,8856,1091,14603,2204,5057,696,8909,53005,14414,31343,924,6993,1223,346,16555,8176,7767,84966,20132,8621,2780,10922,7873,28263,com.aemobile.games.farmdozer.opcodeSeq.txt,1
14,2280,1311,2028,4070,2471,1264,12327,618,0,434,128,379,46,636,1014,131,277,197,749,57,1428,851,612,181,613,3370,257,3355,416,1126,118,2932,2612,618,9085,137,1358,309,108,1287,1569,1377,20462,3531,2135,694,3191,1582,6504,com.bosch.cove.driverapp.opcodeSeq.txt,1
15,11854,11778,9912,21408,12316,7711,53420,2560,0,2421,753,2720,246,3576,3814,737,1434,1450,3335,271,5369,4264,4530,1115,3367,13690,1318,19273,3024,5196,1415,14509,14123,5778,39211,768,6926,1812,653,7793,8128,8883,102313,21279,8519,2322,10859,8103,21686,com.jobtoday.app.opcodeSeq.txt,1
16,13627,7302,5737,20286,15925,7762,57381,2156,0,1785,446,1974,166,2565,4321,565,1099,867,3132,231,3768,4883,2757,765,2183,12077,943,14856,5138,4826,778,10615,12175,3412,42660,746,5602,1462,407,6096,7620,8705,97226,18184,10157,1785,13646,6447,22929,com.curofy.opcodeSeq.txt,1
17,5790,3214,6705,11089,6550,4148,27382,1517,0,908,302,1265,118,1549,3186,275,678,440,2409,140,3719,2350,1909,480,1428,7688,702,8938,1344,3117,613,7912,52714,14280,23000,547,4167,1034,297,15452,5716,5518,50462,9806,5107,1069,8571,5448,14665,com.just4fun.buginphone.opcodeSeq.txt,1
18,10279,12449,8060,19384,10859,5953,48551,2613,0,2464,617,2265,198,2654,3426,1206,1374,1168,2621,210,4153,4180,3704,1277,2957,11874,975,17067,3312,4890,931,11605,11352,4368,34975,664,6459,1508,499,5916,7471,6902,91143,19456,7437,3148,10398,7176,23663,com.rogertalk.roger.opcodeSeq.txt,1
19,2582,2623,3374,5042,2181,2188,18410,1631,0,636,128,456,63,920,2132,137,255,142,821,80,2364,891,800,187,513,3070,267,4573,414,1847,266,2635,47746,12665,10341,295,2001,352,133,13122,3489,3173,28566,6504,3267,1132,3669,2649,11003,air.theflash.f2game.DinoBattlefield.opcodeSeq.txt,1
20,11781,10927,10014,19106,10629,7268,56795,3200,0,2461,581,1937,199,3369,5426,558,1315,807,3069,214,7031,3776,3460,989,2239,11987,1006,16339,2843,6106,941,11183,55929,15207,37882,751,7440,1498,486,16905,9446,9165,99034,23111,9837,3040,12219,8067,30501,com.touchofmodern.opcodeSeq.txt,1
21,15693,11103,14567,26979,16414,10395,73904,3883,0,2765,861,2855,305,4141,8122,845,2054,4551,3698,475,5719,7425,4967,1844,7289,17278,1442,22378,4611,7613,1316,16361,105717,29185,55032,942,9797,2302,604,32184,12293,13607,129111,29137,12324,2770,18148,11388,32958,com.whtm.android.weather.opcodeSeq.txt,1
22,10900,13306,12544,23352,13769,10817,74145,2900,0,2564,725,2658,253,3833,5394,980,1238,1126,3731,279,6960,3868,4430,1035,2930,14527,1357,20322,1658,6748,1219,14334,16877,5947,51196,796,9054,1766,547,9205,10565,13396,133627,27803,9930,2737,16407,10824,33482,com.withings.wiscale2.opcodeSeq.txt,1
23,7881,7020,9217,21999,10129,7222,56760,2992,0,1900,453,2341,227,3037,5589,656,830,874,3002,233,4280,2551,3583,768,2657,13224,1161,18524,1409,5325,831,11840,57404,15934,41437,621,6666,1367,435,18430,8729,9975,99847,18894,9816,1950,14030,8317,26675,com.link.messages.sms.opcodeSeq.txt,1
24,4919,4269,5303,9804,6558,5518,24138,1217,0,1048,336,1397,116,1476,2421,381,511,623,1913,155,1734,1785,1422,346,1589,7906,671,8634,841,2767,620,7427,12949,3876,25235,321,3739,913,414,5570,4902,6389,49060,12334,4045,923,8423,4540,11210,com.abnamro.nl.mobile.payments.opcodeSeq.txt,1
25,2697,2771,3354,4494,1856,1894,18751,1438,0,629,137,373,58,970,2028,130,274,160,857,68,2854,824,671,209,427,2572,195,4334,346,1765,251,2047,46990,12237,9568,224,1941,335,80,12677,2822,2623,28379,6534,3321,1299,3404,2478,11892,com.apexsoft.aaiytqareema.opcodeSeq.txt,1
26,5076,2349,1400,5243,4877,1953,14855,616,0,548,129,607,93,568,1055,190,534,221,765,71,852,1342,793,286,802,3751,429,3948,2389,1413,381,3778,3887,1180,11268,330,1855,596,194,1963,2199,2102,24994,5583,2173,475,3436,2073,5820,com.leonardosystem.leonardomonitor.opcodeSeq.txt,1
27,5003,4911,5178,9763,5716,3604,24637,1643,0,1135,297,1139,122,1408,2680,269,587,487,1596,120,2442,1858,1740,429,1399,7241,665,8458,1156,2761,468,7438,52396,13441,20776,390,3389,889,300,14628,5209,4395,46384,10548,4152,1030,6424,3995,11530,com.bitknights.dict.enghun.free.opcodeSeq.txt,1
28,8219,6606,8590,17993,11570,5813,43559,1816,0,1661,469,1881,201,2177,4624,500,929,896,3323,261,3991,2900,2598,613,2380,13547,1084,14175,1701,3859,829,11505,14719,3886,41458,713,4978,1551,457,6292,6742,7478,82501,16138,7461,1899,13195,6714,18976,com.xodo.pdf.reader.opcodeSeq.txt,1
29,7662,6610,7377,10834,5278,4625,37676,2230,0,1401,340,962,105,2172,3920,303,706,340,2063,133,5790,2059,1843,624,1086,6666,536,9666,1261,3713,460,5998,50783,13526,21953,467,4412,876,242,14461,6293,5644,62632,13765,6513,2334,7827,5169,22849,com.rijadeja.main.opcodeSeq.txt,1
30,545,537,173,611,571,240,1350,57,0,63,21,76,14,64,87,27,97,48,119,22,69,159,92,34,134,695,81,672,286,114,24,896,627,194,1632,50,268,117,40,310,262,246,2845,946,224,66,619,342,750,com.annabellehan.webchon.m.opcodeSeq.txt,1
31,3550,2968,2271,4956,3236,1804,14338,1076,0,669,168,598,67,952,1488,166,431,249,696,60,1680,901,1067,294,727,3575,310,4562,1099,1319,205,3888,48721,12240,11009,239,1887,582,138,12695,2848,2161,24975,6762,2990,639,3691,2206,7715,com.wbr.worldofbattleship.opcodeSeq.txt,1
32,4022,2934,3569,7326,4176,2803,19633,1292,0,1005,187,777,78,1172,2172,194,424,306,1056,91,1936,1146,1431,323,889,5467,433,6481,974,1736,298,5607,49723,12994,14678,345,2621,761,195,13624,4054,3189,34788,7124,3383,918,4972,2848,9728,com.lambda_apps.fb_vid_dlder.opcodeSeq.txt,1
33,8972,6276,5369,17411,11945,6558,44039,2032,0,1802,412,1839,190,2230,3179,550,1321,873,2489,213,3033,3656,2824,1047,2607,10944,965,13913,3562,4089,824,11040,10776,4841,32180,755,5586,1590,502,6819,6191,8598,78905,16092,6710,1574,9735,7018,18276,com.classdojo.android.opcodeSeq.txt,1
34,3439,2974,3531,5440,2395,2032,21225,1538,0,678,159,430,64,1096,2259,131,329,180,869,69,3045,1009,770,238,451,2833,225,5115,684,1844,260,2312,47151,12234,10591,246,2039,338,92,12688,3183,2877,31985,7186,3813,1388,3772,2558,12776,com.brc.ScoalaAuto.opcodeSeq.txt,1
35,10721,10707,12328,25534,12196,9058,58927,2329,0,2622,755,2794,222,3436,5289,782,1602,1516,3923,266,5788,3827,4464,1123,3598,16222,1457,22230,1549,4968,1220,15829,15800,5522,46933,671,7040,1665,646,8182,9050,10864,115338,20696,9387,2431,15203,8490,26435,com.wrike.opcodeSeq.txt,1
36,10488,8973,9547,16101,8470,6274,47662,2996,0,2076,468,1600,193,2830,5063,445,1068,633,2684,203,6630,3160,2815,818,1877,10627,922,14116,2283,5034,770,10085,54130,14810,32576,699,6053,1338,446,16371,8759,7881,83024,19418,8493,2842,11023,7144,27106,air.studio.nangoku.jump.opcodeSeq.txt,1
37,6858,6234,6301,10226,4735,4023,34127,2103,0,1335,301,898,112,2055,3502,321,630,418,1583,128,5050,1633,1738,557,1032,5692,521,9393,1206,3656,452,4952,50049,13594,19611,438,4326,733,252,14370,5934,5340,56935,13417,6062,2138,6779,5116,20760,arrasol.games.ninja.hero.opcodeSeq.txt,1
38,11577,12609,12448,31527,17241,12788,90795,4371,0,2606,679,3175,357,4672,6772,862,1390,1247,4456,289,7586,3855,4581,1468,3459,20366,1636,25338,2135,8540,1076,16988,70266,19385,70214,924,11618,1886,697,23040,12639,15683,159859,36795,14684,2964,24310,11484,43776,com.akosha.directtalk.opcodeSeq.txt,1
39,12640,10811,11579,21846,11400,8260,65326,3359,0,2738,590,2083,215,3684,6032,663,1556,921,3478,243,8353,4335,3668,1087,2535,13482,1160,18799,3028,5946,922,12683,57893,15199,42408,757,7611,1657,500,17634,10488,9464,111913,24980,11142,3486,13764,8621,32620,com.venusvsmars.teenfashion.opcodeSeq.txt,1
40,7656,7405,7126,12052,5720,4705,38983,2395,0,1646,358,1106,143,2266,4023,354,844,491,1859,145,5637,1939,2120,619,1291,6935,618,10967,1466,4018,554,6232,51468,13987,24000,492,4908,905,280,15105,6977,6280,65875,15694,7044,2314,8340,6064,22926,com.analizame.test.opcodeSeq.txt,1
41,15980,12110,3798,20723,25150,14803,77601,5479,978,439,703,3027,117,2383,6292,2075,9439,1209,4047,2748,5026,5479,3758,3869,2311,13690,727,18549,1939,5792,6515,13594,132789,16549,61117,1002,9616,2153,5576,24360,10979,8204,133432,23949,7830,2234,15086,8922,22935,com.kms.free.opcodeSeq.txt,1
42,14542,8331,7516,16230,14056,7537,47266,2350,0,1907,566,2008,211,2409,4390,889,1427,944,3132,259,4808,3880,3126,914,2048,13000,1227,14041,5791,4927,1101,13652,70199,18776,37963,1444,6764,1972,585,20366,9914,8832,83427,18617,8363,2214,13447,8603,23411,com.wolfgangknecht.scribbler.opcodeSeq.txt,1
43,2515,1781,814,2856,2010,791,6997,300,0,332,99,284,33,363,515,93,293,162,336,38,547,669,455,135,410,1762,200,2561,1025,486,94,1987,1752,472,5440,104,868,331,89,764,1045,905,12608,3428,1243,282,1669,988,2897,com.bf.app85621a.opcodeSeq.txt,1
44,2746,2443,1134,3895,2788,1288,7671,375,0,607,125,502,69,503,543,111,419,257,551,59,599,1055,728,216,693,3079,301,3318,1267,835,243,3463,2560,759,8613,173,1299,464,157,1413,1285,1303,15782,5040,1465,334,2504,1476,3044,br.com.frizeiro.bibliadra.opcodeSeq.txt,1
45,3877,3128,2247,5248,3490,2037,15451,1077,0,821,159,626,71,849,1370,151,466,229,874,66,1697,1331,920,267,798,3570,334,4712,1571,1556,345,3766,48146,12337,11868,298,2036,517,178,13216,2286,2035,25947,7283,2806,887,3873,2140,8283,com.vilvilad.sketchphoto.opcodeSeq.txt,1
46,10413,8856,8368,16283,8905,5826,46339,2659,0,2180,471,1634,210,2716,4411,481,1132,636,2614,185,6211,3197,2872,911,1995,10304,859,14351,2654,4798,743,9572,54521,14680,32274,640,6071,1301,433,16335,8011,6981,81166,19698,8174,2904,10420,7038,26002,com.kamat.isquare.kamet.opcodeSeq.txt,1
47,1723,1773,2264,3473,1681,1631,12482,988,0,490,100,333,40,592,1496,102,198,109,601,62,1499,696,553,136,368,2392,179,3121,351,1276,216,2138,47094,12398,7147,246,1255,284,102,12728,2464,2519,19622,4338,2289,793,2539,1934,7147,air.com.bxapps.SantaGiftsForBaby.opcodeSeq.txt,1
48,458,225,286,1211,964,789,4397,123,0,28,15,152,17,196,321,4,40,38,229,60,326,133,187,87,100,957,204,1011,110,320,16,1139,1768,540,2975,21,404,284,26,798,1727,1072,7150,1179,763,89,1251,581,2453,com.voltage.g.fkshu.en.opcodeSeq.txt,1
49,6970,4345,868,5543,4894,2147,18335,664,487,158,192,553,37,805,1270,220,781,516,1112,198,1559,1223,821,1211,535,2479,155,4307,1152,1108,270,2957,4616,1561,10049,292,1694,650,190,1477,3119,2474,31013,4961,1742,429,3228,1493,6014,com.keramidas.TitaniumBackup.opcodeSeq.txt,1
